,cityname,imagename,label
1136,New York City 25pct,nycgov_11379180_1416941708631216_133391756_n_50pct_25pct.jpg,Field
1141,New York City 25pct,nycgov_11379180_1416941708631216_133391756_n_50pct_25pct.jpg,Soccer-specific stadium
1156,New York City 25pct,nycgov_50873116_316464265668277_1804596730224098954_n_50pct_25pct.jpg,Folk instrument
1158,New York City 25pct,nycgov_50873116_316464265668277_1804596730224098954_n_50pct_25pct.jpg,Kung fu
1159,New York City 25pct,nycgov_50873116_316464265668277_1804596730224098954_n_50pct_25pct.jpg,Traditional korean musical instruments
1205,New York City 25pct,nycgov_11374189_981874508539383_989810399_n_50pct_25pct.jpg,Groundcover
1251,New York City 25pct,nycgov_11374232_1675188056046260_1021717492_n_50pct_25pct.jpg,Boulder
1252,New York City 25pct,nycgov_11374232_1675188056046260_1021717492_n_50pct_25pct.jpg,Coastal and oceanic landforms
1254,New York City 25pct,nycgov_11374232_1675188056046260_1021717492_n_50pct_25pct.jpg,Breakwater
1255,New York City 25pct,nycgov_11374232_1675188056046260_1021717492_n_50pct_25pct.jpg,Bay
1266,New York City 25pct,nycgov_927208_384855774978397_1256727588_n_50pct_25pct.jpg,Sports collectible
1269,New York City 25pct,nycgov_927208_384855774978397_1256727588_n_50pct_25pct.jpg,Coach
1287,New York City 25pct,nycgov_43171000_329736544509080_3863950316820206696_n_50pct_25pct.jpg,Panorama
1296,New York City 25pct,nycgov_11850380_731419403657680_476778398_n_50pct_25pct.jpg,Auto part
1334,New York City 25pct,nycgov_1388835_721983151146872_1067138796_n_50pct_25pct.jpg,Hall
1358,New York City 25pct,nycgov_1170289_554331217970743_1683605750_n_50pct_25pct.jpg,Pole
1391,New York City 25pct,nycgov_11324313_405239783005990_1491359799_n_50pct_25pct.jpg,Frost
1438,New York City 25pct,nycgov_11351506_236488349855159_1978580196_n_50pct_25pct.jpg,Coral reef fish
1475,New York City 25pct,nycgov_10013076_989219861113863_1623203344_n_50pct_25pct.jpg,Land lot
1557,New York City 25pct,nycgov_49735939_1967390540233794_5493840063558033762_n_50pct_25pct.jpg,Moonlight
1576,New York City 25pct,nycgov_44812896_2048689068520465_6265274583435788740_n_50pct_25pct.jpg,Play
1661,New York City 25pct,nycgov_11385136_793468217435547_1590444720_n_50pct_25pct.jpg,Window film
1740,New York City 25pct,nycgov_11352128_445141399025414_1248909103_n_50pct_25pct.jpg,Sign
1741,New York City 25pct,nycgov_11352128_445141399025414_1248909103_n_50pct_25pct.jpg,Traffic sign
1743,New York City 25pct,nycgov_11352128_445141399025414_1248909103_n_50pct_25pct.jpg,Thoroughfare
1749,New York City 25pct,nycgov_45620898_2203822879641789_2692257688736308276_n_50pct_25pct.jpg,Companion dog
1754,New York City 25pct,nycgov_45620898_2203822879641789_2692257688736308276_n_50pct_25pct.jpg,Police officer
1802,New York City 25pct,nycgov_12556127_198284090526157_1387979343_n_50pct_25pct.jpg,Courthouse
1804,New York City 25pct,nycgov_12556127_198284090526157_1387979343_n_50pct_25pct.jpg,Listed building
1820,New York City 25pct,nycgov_11311443_406011659583883_2090915028_n_50pct_25pct.jpg,Net
1824,New York City 25pct,nycgov_11311443_406011659583883_2090915028_n_50pct_25pct.jpg,Beam bridge
1899,New York City 25pct,nycgov_11137916_761650323949425_758500673_n_50pct_25pct.jpg,Wildflower
1900,New York City 25pct,nycgov_11137916_761650323949425_758500673_n_50pct_25pct.jpg,redbud
1910,New York City 25pct,nycgov_12724893_1017446664970069_1130828216_n_50pct_25pct.jpg,Panorama
1935,New York City 25pct,nycgov_12357254_1660823780866294_1696107538_n_50pct_25pct.jpg,Flag of the united states
1936,New York City 25pct,nycgov_12357254_1660823780866294_1696107538_n_50pct_25pct.jpg,Flag Day (USA)
1978,New York City 25pct,nycgov_12331392_155541351476846_1341260789_n_50pct_25pct.jpg,Fair
1979,New York City 25pct,nycgov_12331392_155541351476846_1341260789_n_50pct_25pct.jpg,Landscape lighting
2013,New York City 25pct,nycgov_11352433_479277025572833_281356747_n_50pct_25pct.jpg,Waterfall
2027,New York City 25pct,nycgov_50481129_196521454639155_93940393824588254_n_50pct_25pct.jpg,Party supply
2031,New York City 25pct,nycgov_11856772_1688465581366819_876144248_n_50pct_25pct.jpg,Restaurant
2063,New York City 25pct,nycgov_11850151_910475132362389_1154854303_n_50pct_25pct.jpg,Sloop
2127,New York City 25pct,nycgov_11848822_845343265584357_649650884_n_50pct_25pct.jpg,Organization
2137,New York City 25pct,nycgov_39948159_326679061228937_6649374290703548416_n_50pct_25pct.jpg,Hindu temple
2143,New York City 25pct,nycgov_50527508_229313261287957_5406754967502410449_n_50pct_25pct.jpg,"Ducks, geese and swans"
2145,New York City 25pct,nycgov_50527508_229313261287957_5406754967502410449_n_50pct_25pct.jpg,wood duck
2146,New York City 25pct,nycgov_50527508_229313261287957_5406754967502410449_n_50pct_25pct.jpg,Blue winged Teal
2153,New York City 25pct,nycgov_43425318_309771982963614_9156172920454957186_n_50pct_25pct.jpg,Glass bottle
2155,New York City 25pct,nycgov_43425318_309771982963614_9156172920454957186_n_50pct_25pct.jpg,Drink
2174,New York City 25pct,nycgov_11376332_819382668130222_79796383_n_50pct_25pct.jpg,Boating
2186,New York City 25pct,nycgov_12132741_435095133360033_186066219_n_50pct_25pct.jpg,Overpass
2205,New York City 25pct,nycgov_11849403_1626093317638558_1041161732_n_50pct_25pct.jpg,Retail
2228,New York City 25pct,nycgov_40773262_247201459312914_5431973308557090035_n_50pct_25pct.jpg,Finial
2281,New York City 25pct,nycgov_12826208_426904114166118_1400079376_n_50pct_25pct.jpg,Lamp
2288,New York City 25pct,nycgov_11376531_109648826037538_433111446_n_50pct_25pct.jpg,Company
2384,New York City 25pct,nycgov_45865756_294910834699772_8710250933805723717_n_50pct_25pct.jpg,Basilica
2468,New York City 25pct,nycgov_11327880_1078488895498036_551092911_n_50pct_25pct.jpg,Field
2473,New York City 25pct,nycgov_11327880_1078488895498036_551092911_n_50pct_25pct.jpg,Soccer-specific stadium
2491,New York City 25pct,nycgov_11363700_1887448244814506_1750469640_n_50pct_25pct.jpg,Cap
2523,New York City 25pct,nycgov_11348323_427946590737576_1966276556_n_50pct_25pct.jpg,Companion dog
2549,New York City 25pct,nycgov_11208288_1626908860854823_257608340_n_50pct_25pct.jpg,Cumulus
2557,New York City 25pct,nycgov_11326531_863421783741810_1463418530_n_50pct_25pct.jpg,Basilica
2661,New York City 25pct,nycgov_11280327_101511896853192_1862800694_n_50pct_25pct.jpg,Chihuahua
2663,New York City 25pct,nycgov_11280327_101511896853192_1862800694_n_50pct_25pct.jpg,Rat terrier
2664,New York City 25pct,nycgov_11280327_101511896853192_1862800694_n_50pct_25pct.jpg,Boston terrier
2688,New York City 25pct,nycgov_13092219_477343762464587_1316981515_n_50pct_25pct.jpg,Door
2694,New York City 25pct,nycgov_13092219_477343762464587_1316981515_n_50pct_25pct.jpg,Aluminium
2703,New York City 25pct,nycgov_40011265_310571866368289_2485466208049037312_n_50pct_25pct.jpg,Bodyguard
2735,New York City 25pct,nycgov_11288061_460554204117216_466678123_n_50pct_25pct.jpg,Company
2821,New York City 25pct,nycgov_11355303_1642521835978926_209847538_n_50pct_25pct.jpg,Outdoor bench
2823,New York City 25pct,nycgov_11355303_1642521835978926_209847538_n_50pct_25pct.jpg,Coffee table
2826,New York City 25pct,nycgov_11355303_1642521835978926_209847538_n_50pct_25pct.jpg,Outdoor table
2836,New York City 25pct,nycgov_12269886_647850745317391_451847389_n_50pct_25pct.jpg,Automotive lighting
2844,New York City 25pct,nycgov_11142131_923954177668547_578410971_n_50pct_25pct.jpg,Automotive wheel system
2905,New York City 25pct,nycgov_11386580_1649975388568294_124214563_n_50pct_25pct.jpg,Automotive wheel system
2908,New York City 25pct,nycgov_11386580_1649975388568294_124214563_n_50pct_25pct.jpg,Automotive tire
2909,New York City 25pct,nycgov_11386580_1649975388568294_124214563_n_50pct_25pct.jpg,Auto part
2911,New York City 25pct,nycgov_11386580_1649975388568294_124214563_n_50pct_25pct.jpg,Rim
2920,New York City 25pct,nycgov_1172477_1683348608596541_99519274_n_50pct_25pct.jpg,Snow removal
2961,New York City 25pct,nycgov_11258672_1657224314501165_1739688810_n_50pct_25pct.jpg,Alley
2995,New York City 25pct,nycgov_11887297_527689967378752_1598065615_n_50pct_25pct.jpg,Basilica
3036,New York City 25pct,nycgov_11176313_1098309256852753_1485169545_n_50pct_25pct.jpg,Shadbush
3042,New York City 25pct,nycgov_11246921_1076137889087444_1841252268_n_50pct_25pct.jpg,Helicopter
3044,New York City 25pct,nycgov_11246921_1076137889087444_1841252268_n_50pct_25pct.jpg,Rotorcraft
3086,New York City 25pct,nycgov_11875276_930591373645365_161375876_n_50pct_25pct.jpg,Company
3092,New York City 25pct,nycgov_1527601_258567654299067_846923859_n_50pct_25pct.jpg,National monument
3184,New York City 25pct,nycgov_46326308_1994380674189938_3716025379376749712_n_50pct_25pct.jpg,Shrub
3185,New York City 25pct,nycgov_46326308_1994380674189938_3716025379376749712_n_50pct_25pct.jpg,Plant community
3186,New York City 25pct,nycgov_46326308_1994380674189938_3716025379376749712_n_50pct_25pct.jpg,Yard
3231,New York City 25pct,nycgov_10520321_1507822119524350_1835181809_n_50pct_25pct.jpg,Ice
3279,New York City 25pct,nycgov_11386578_490556777766112_414728234_n_50pct_25pct.jpg,Picture frame
3294,New York City 25pct,nycgov_11246081_283075078529757_1564199351_n_50pct_25pct.jpg,Batman
3324,New York City 25pct,nycgov_12816937_268238750174043_1471320100_n_50pct_25pct.jpg,Subway
3398,New York City 25pct,nycgov_12328287_1680955612122268_1602294827_n_50pct_25pct.jpg,Sign
3402,New York City 25pct,nycgov_12328287_1680955612122268_1602294827_n_50pct_25pct.jpg,City car
3424,New York City 25pct,nycgov_12331457_713350972133203_1050674067_n_50pct_25pct.jpg,Boardwalk
3425,New York City 25pct,nycgov_12331457_713350972133203_1050674067_n_50pct_25pct.jpg,Girder bridge
3426,New York City 25pct,nycgov_12331457_713350972133203_1050674067_n_50pct_25pct.jpg,Bailey bridge
3452,New York City 25pct,nycgov_12104972_1493518874307662_1271584785_n_50pct_25pct.jpg,Thoroughfare
3453,New York City 25pct,nycgov_12104972_1493518874307662_1271584785_n_50pct_25pct.jpg,Alley
